Brand Name,Product,Path/Bank,Program / Sample,Notes,Examples
Future Music,FM62 - The Future Loops Collection,,Track 33,,Travel
InVision,Lightware - Stratus Sound Sampler,Partition A -> KYOTO GARDEN,KYOTO GARDEN,Possibly another library entirely,Risk Your Life
KORG,TR-Rack,Prog > A,A101 Finger Cymbal,,Nano East
KORG,TR-Rack,Prog > C,C01 Clear Mallet,,Yuna Song
KORG,TR-Rack,Combi > C,C79 Serengeti,,"Jingle Bell on Ragnarok, Theme of Lutie / Snow In My Heart"
KORG,TR-Rack,Combi > C,C82 Relaxation,,Watery Grave
KORG,TRITON-RACK,,,"Bell tree, look into this",Streamside
KORG,TRITON-RACK,Combis -> INT-A,014 Leading Lady,,Yuna Song
KORG,TRITON-RACK,Programs -> INT-A,031 VS Bell Boy,,Theme of Geffen
KORG,TRITON-RACK,Programs -> INT-A,114 Jungle Melody,,Watery Grave
KORG,TRITON-RACK,Programs -> INT-B,045 Gliding Squares,Turn off portamento,You're in Ruins
KORG,TRITON-RACK,Programs -> INT-C,028 A Leadlead,,Everlasting Wanderers
KORG,EXB-PCM06 Orchestral Collection,,001 Maestro Strings,,"I miss you, Ready"
Masterbits,Peter Siedlaczek's Orchestra,Partition D -> STRING SPIC,SPIC C1-A#3,,Stranger Aeons
Sonic Foundry,Voices of Native America,Single Shot Loops & Hits -> Flutes,Echo Flute 9.1,,Through The Tower
Roland,JV-2080,,,,"Title, Brassy Road"
Roland,JV-2080,,,"Music box, look into this",Streamside
Roland,JV-2080,PR-A,023 PsychoRhodes,,"Ancient Groover, Brassy Road"
Roland,JV-2080,PR-A,105 Dulcimer,,"Theme of Payon, Through The Tower, Nano East, Into the Abyss, Muay Thai King"
Roland,JV-2080,PR-A,114 Jungle Melody,,Watery Grave
Roland,JV-2080,PR-B,098 Air Lead,,Streamside
Roland,JV-2080,PR-C,099 Flying Waltz,,One Fine Day
Roland,JV-2080,PR-D (GM Bank),065 Civilization,,Plateau
Roland,JV-2080,PR-D (GM Bank),078 Shakuhachi,,"Theme of Payon, Ancient Groover, Through The Tower"
Roland,SR-JV80-04 Vintage Synth,,128 Mini Lead,Not sure about this in retrospect,"Theme of Prontera, Plateau, Morning Gloomy, Don't cry, baby"
Roland,SR-JV80-06 Dance,,0117 Aaaah!,Waveform,CheongChoon
Roland,SR-JV80-06 Dance,,0216 Rewind,Waveform,Hamatan
Spectrasonics,Bass Legends,Partition A -> ALL THUMBS,EM SLP POP A,Additional bass is layered,TeMPoison
Spectrasonics,Distorted Reality II,Partition A -> 02 70-79 BPM,BLASTCAPS 73,,Treasure Hunter
Spectrasonics,Heart of Africa,Partition B -> 10 GRP CHANT,AF.CHANTMENU,,Top Hoppy
Spectrasonics,Heart of Asia,Disc 1 -> Partition B -> BAN-DI FLUTE,BAN-DI -V,"this is chinaflt most likely, check that","Welcome Mr. Hwang, Dream of a Whale"
Spectrasonics,Liquid Grooves,Disc 1 -> Partition D -> 78 ICE BRUSH,ICE BRUSHES,Original track from 2000 (See notes),Ethical Aspiration
Spectrasonics,Liquid Grooves,,095-Aboriginal Wavedrum wet 1,Temporary Stylus name,Treasure Hunter
Spectrasonics,Metamorphosis,Disc 1 -> Partition A -> 53-70 LOOPS,MOHAVE C,,Theme of Al de Baran
Spectrasonics,Metamorphosis,,,,Good Morning
Spectrasonics,Stylus RMX,Sound Menus,Cinematic Ambient Metals,C3,Fissure Eruption
Spectrasonics,Stylus RMX,,52-Alice's Dream Combo,,Twilight Heaven
Spectrasonics,Stylus RMX,,143-MindBender Half Metal,,Stranger Aeons
Spectrasonics,Stylus RMX,,143-MindBender Shakers,,Stranger Aeons
Spectrasonics,Stylus RMX,,145-Electric Flower AM Radio,,Stranger Aeons
Spectrasonics,Stylus RMX,,160-Spheres DnB,,Away from Home
Ueberschall,2 Step Garage,Disc 1,Track 19,"Timestamps: 0:59.3, 1:03.8, 1:08.2",Sleepless
Ueberschall,2 Step Garage,Disc 1,Track 27,Timestamp: 0:00,Purity of your smile
Ueberschall,2 Step Garage,Disc 1,Track 30,Timestamp: 0:00,Purity of your smile
Ueberschall,2 Step Garage,Disc 1,Track 44,Timestamp: 1:10.6,Sleepless
Ueberschall,2 Step Garage,Disc 1,Track 54,Timestamp: 0:45.7,Jazzy Funky Sweety
Ueberschall,Brazil Electro,,Fx-#448,,"Can't go home again, baby"
Ueberschall,Disco Deluxe,85-86 VOCALS -> 85 vocals I,voc-hirollers3_em,,High Roller Coaster
Yamaha,MOTIF 6,PRE1,A01 PowerGrand,,Not so far away
Yamaha,MOTIF 6,PRE2,D06 SweetFlute,,"Come in Peace, Lastman Dancing, Alpen Rose"
Yamaha,MOTIF 6,PRE2,G01 SAKURA,,"Purity of your smile, Sleepless"
Yamaha,MOTIF 6,GM,G12 Koto,,"Can't go home again, baby"
Yamaha,MOTIF-RACK,PRE4,031 ScaryNight,,Wanna Be Free!!
Yamaha,PLG150-VL,PLG1PRE1,001 Trumpet 1,,Jazzy Funkey Sweety
Yamaha,PLG150-VL,PLG1PRE1,002 Trombone,Needs pitchbends that Trumpet 1 has,"Jingle Bell on Ragnarok, Theme of Lutie / Snow In My Heart"
Yamaha,PLG150-VL,PLG1PRE1,032 Jazz Flute,,"Theme of Lutie / Snow In My Heart, Top Hoppy"
Yamaha,PLG150-VL,PLG1PRE1,024 TenorSax 2,,"Welcome, my lord, Mucho Gusto, TeMPotato, Jazzy Funkey Sweety, Macaroni Express"
Zero-G,Chemical Beats,Guitar Loops-120,120-Guitar Loop 02,Used ver. could be AKAI,Time UP!
Zero-G,Cuckooland UNHINGED,Disc 2 -> Partition A -> FX SET 2,FX SET 2,Sample: RIP SHRIEK,TeMPoison
Zero-G,Cuckooland UNHINGED,Disc 2 -> Partition C -> 096-BPM,096-BPM,Sample: CHIRPINESS,Watery Grave
Zero-G,Datafile 3,,Track 72,Timestamp: 0:17.7,"Can't go home again, baby"
Zero-G,Interface Dance,,SYNTHTRANS_OS_HER5_F_MA,Could be Total House instead,Through The Tower
XLN Audio,Addictive Drums,,Startup,,"Arrival, Melt Down!"
"Fortress 3 Paewang (2002) - SoundTeMP, Jinbae Park, Dong-Il Kwak, Seock-Jin Lee,",,,,,
Best Service,Voice Spectral,,Track 86,Timestamp: 0:15.3,Gowon (The Sky)
Ensoniq,MR-Rack,ROM004,097 Atomic Lead,,Chat Guild
KORG,01/W,PROG,A63 Tin Flute,,Lake
KORG,TRITON-RACK,Programs -> INT-A,015 Monkey Skulls,,Underthsea
KORG,TRITON-RACK,Programs -> INT-A,031 VS Bell Boy,"Some altered parameters, TR-RACK?",Wait Guild
KORG,TRITON-RACK,Programs -> INT-B,045 Gliding Squares,,"Sever, Wait Exam"
Spectrasonics,Metamorphosis,Disc 1 -> Partition A -> 53-70 LOOPS,SONAR,,Lake
Yamaha,MOTIF 6,GM,G12 Koto,,Temple
"Talesweaver (2003) - Jinbae Park, Goomin Nam, Jee-Hoon Park, Sungwoon Jang, Chan-Suk Kim, Ga-Hae Kim",,,,,
Access,Virus Indigo,,C49 HongKongBC,,Four Thousand Years
Access,Virus Indigo,,101 Bass,,"Four Thousand Years, Fortune Message"
Best Service,Brass Super Section,Partition E -> TRPHARMUTE44,TRP HARMUTE,,Magnolia
Best Service,Brass Super Section,Partition G -> BARITONSAX,SAXOVERBLOWN,,Magnolia
Best Service,Voice Spectral,,Track 8,Timestamp 0:00,jungle jungle
Best Service,World Colours,Partition F -> FLUTE GROOVE,FLUTE GROOVE,FLUTEGRV06 ,jungle jungle
Best Service,World Colours,Partition F -> FLUTE+VOCAL,FLUTE+VOCAL,FLU.+VOC01,jungle jungle
Best Service,World Colours,Partition F -> SNG+PRAYER 1,SNG+PRAYER 1,SING+PRAY1,jungle jungle
Big Fish Audio,Kitch 70's,Partition B -> 08-94.5LP #2,94.5-02LOOPS,Waveform: SHAKE IT,Fight Master
EastWest,Ra,Americas -> Wind -> Pan Flute,Pan Flute KS C0-D#0,,And Don't forget 
EastWest,Stormdrum,Large Percussion,Big Hits,A5,Tower
EastWest,Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,Your Mejesty
Ensoniq,EXP-3 Urban Dance Project,EXP030,066 Inharmonica,,"The Takes (ESTi's Fairytale remix), Steppers on line"
Ensoniq,MR-Rack,RAM001,049 MR Coffee,Seems to be modified?,The Takes (ESTi's Fairytale remix)
Hollywood Edge,Premiere Edition Vol. 1,PE-01 Nature Ambiences,ForestAmbienceMix PE010201,,Till the End of Infinity
Hollywood Edge,Premiere Edition Vol. 1,PE-04 Water,DripsSlowSmallWate PE040201,Probably some other clip from HEPE,무(無)
Hollywood Edge,Premiere Edition Vol. 1,"PE-17 Telephones, Cameras, Clocks",FutzedthroughLineB PE172001,Chopped,Reminiscence [radiomorphose edit]
Hollywood Edge,Premiere Edition Vol. 1,"PE-17 Telephones, Cameras, Clocks",FutzedPhoneOffHook PE172601 ,,What Exists In Order to Forget the Dreams of Yesterday
Hollywood Edge,Premiere Edition Vol. 1,"PE-17 Telephones, Cameras, Clocks",FutzedOperatorMess PE173001,,Reminiscence [radiomorphose edit]
Hollywood Edge,Premiere Edition Vol. 1,"PE-17 Telephones, Cameras, Clocks",35mmStillCameraSho PE179001,More camera sfx are used throughout,What Exists In Order to Forget the Dreams of Yesterday
Hollywood Edge,Premiere Edition Vol. 1,"PE-20 Electronic, Sci-Fi",SynthRadio1Oscilla PE202001,Edited in some fashion to extend it,Reminiscence [radiomorphose edit]
Hollywood Edge,Premiere Edition Vol. 4,PE-50 Designed Events,PickupPhoneFrom PE504101,Chopped,What Exists In Order to Forget the Dreams of Yesterday
ILIO,Classical Wild Takes,Partition A -> VOLUME 004,WILD TAKE 80,Could be Hollywood Edge's release?,Christmas in the 13th Month
ILIO,Stark Raving Beats,EXP Libraries > Stark Raving Beats,150-All That Perc Loop,,Tower
ILIO,Stark Raving Beats,EXP Libraries > Stark Raving Beats,150-All That Full Mix,,Tower
ILIO,World Winds,Partition A -> BANSURI,BANSUR.MENU1,,Shadow Claws
KORG,TR-Rack,Prog > A,A101 Finger Cymbal,,古代文明の扉
KORG,TRITON-RACK,Programs -> INT-A,065 90's Piano,,delight
KORG,TRITON-RACK,Programs -> INT-A,079 Ensemble Bell,,"So Cool, One Day, Dark Knight, Get Over"
KORG,TRITON-RACK,Programs -> INT-B,017 Dyno Tine EP,,Brand new spring is coming
KORG,TRITON-RACK,Programs -> INT-B,060 Musette,,Steppers on line
KORG,TRITON-RACK,Programs -> INT-C,028 A Leadlead,,Aqua Pura
KORG,TRITON-RACK,,,"Triton combi strings, not sure which",La redoute
KORG,EXB-PCM04 Dance Extreme,,005 Gospel Voice Set,,The Place Forbidden to Visit by Adults
KORG,EXB-PCM06 Orchestral Collection,,001 Maestro Strings,,Life in Keltica
Native Instruments,FM7,,,"""Stringbell"" pathing will come soon","The Takes (ESTi's Fairytale remix), Four Thousand Years, F.M.7, EarCatcher - Wishing"
Nightingale Music,The Premier Collection Vol. 2,,Track 50,Timestamp: 0:00,Fight Master
Roland,Fantom X7,,,Used by D.A. Undocumented usage.,
Roland,JV-2080,PR-A,099 Steel Drums,,autumn leaves
Roland,JV-2080,PR-A,108 Nylon Gtr,,"Daybreak, Song of Beach"
Roland,JV-2080,PR-B,014 Nylon Bass,,The Place Forbidden to Visit by Adults
Roland,JV-2080,PR-B,119 Harmonica,,Steppers on line
Roland,JV-2080,PR-C,050 Harp,,Aquabelle
Roland,JV-2080,PR-D,019 HolidayCheer,,Ice candy tree
Roland,XV-3080,PR-F,033 XV SteelGt 1,,Past
Roland,XV-3080,PR-F,081 The Ganges,,City of Trade
Roland,XV-5080,PR-F,037 Folk Guitar,,Four Thousand Years
Roland,SC-8820,SC-8820 Map,024 019 Rotary Org.F,,yeah!
Roland,SC-8820,SC-8820 Map,000 037 Slap Bass 1,,Magnolia
Roland,SR-JV80-06 Dance,,139 Loopbits x2,,Make A Break To This
Roland,SR-JV80-06 Dance,,140 Slide Fx x2,,"A Cloudy World, Take A Step Forward"
Roland,SR-JV80-06 Dance,,141 Spooky,,Orange Garage
Roland,SR-JV80-06 Dance,,0216 Rewind,Waveform,The Takes (ESTi's Fairytale remix)
Roland,SR-JV80-16 Orchestral II,,,Harp patch,A Tiny Chest Which Cannot Be Opened
Spectrasonics,Liquid Grooves,Disc 1 -> Partition G -> 94 SOUL BOB,SLB LO-FIDRM,Has a chance of being Stylus RMX LG,Reminiscence
Spectrasonics,Distorted Reality II,Partition A -> 02 70-79 BPM,BLASTCAPS 73,,dark
Spectrasonics,Distorted Reality II,Partition B -> 01 110-119 BPM,SPACEPHUNK,,Take a step forward
Spectrasonics,Heart of Asia,Disc 1 -> Partition B -> BAN-DI FLUTE,BAN-DI -V,,"Till the End of Infinity, Four Thousand Years, Walking on your own, jungle jungle, Tomb of Honor"
Spectrasonics,Heart of Asia,Disc 1 -> Partition B -> BAN-DI FLUTE,,Check later,Bambooming
Spectrasonics,Metamorphosis,Disc 1 -> Partition A -> 53-70 LOOPS,SONAR,Effects applied,keep yourself
Spectrasonics,Metamorphosis,Disc 1 -> Partition A -> 53-70 LOOPS,MOHAVE B,,Feliz Navidad
Spectrasonics,Metamorphosis,Disc 1 -> Partition A -> 53-70 LOOPS,MOHAVE C,,The Good Old Days
Spectrasonics,Omnisphere,Atmosphere Library -> Bells and Vibes,Chime City,Could be Atmosphere itself,Philaion
Spectrasonics,Stylus,,55-Phew and Phar d,,Hotel Inside
Spectrasonics,Stylus RMX,Bonus Spectrasonics -> Distorted Reality 090-127,92-Ring Hop,"Probably AKAI, path will come later",just climbing
Spectrasonics,Stylus RMX,Sound Menus -> Cinematic,MENU - Ambient Metals,G4,Gate to an Ancient Civilization
Spectrasonics,Stylus RMX,RMX Grooves,51-Scuba Duba Hi-fi,,Sea star
Spectrasonics,Stylus RMX,RMX Grooves,52-Alice's Dream,,East Green wind
Spectrasonics,Stylus RMX,RMX Grooves,60-Volcano Combo,,Aqua Pura
Spectrasonics,Stylus RMX,RMX Grooves -> 70-Datalife,70-Datalife Vibro,,Defeat
Spectrasonics,Stylus RMX,RMX Grooves,,,abandoned..
Spectrasonics,Stylus RMX,RMX Grooves,72-Half Moon No Kick a,,Shadow Claws
Spectrasonics,Stylus RMX,RMX Grooves ->  97-Wax Wash,97-Wax Wash Vinyl Perc,,Life in Keltika
Spectrasonics,Stylus RMX,RMX Grooves,105-Perilous Vocal Slider,,mondo E-house
Spectrasonics,Stylus RMX,RMX Grooves,160-Spheres DnB,Custom loop,출발자(出發子)
Spectrasonics,Stylus RMX,RMX Grooves,160-The Call,Custom loop,Final Killer
Spectrasonics,Stylus RMX,RMX Grooves,174-World Hunt,Custom loop,Lucky Guy
Spectrasonics,Vocal Planet,Disc 3 -> Partition B -> 2 DOOEEOT,DOOEEOT B,Stretched/chopped to match rhythm,Walking on your own
Spectrasonics,Vocal Planet,Disc 3 -> Partition H -> 2 VOCAL WIND,A TO O SWEEP,,Hotel Inside
Spectrasonics,Vocal Planet,Disc 3 -> Partition H -> 2 VOCAL WIND,O-NOISE BED,,Hotel Inside
Spectrasonics,Vocal Planet,Disc 4 -> Partition H -> 1 COUNTING,EH COUNTING,"E5, F5, F#5, G5 (one, two, three, four)",Park's Life(Paku's ver.)
Steinberg,Virtual Guitarist,Virtual Electric Guitar -> Wah Wah,8. Pedal 2,,Orange Garage
UVI,Plugsound Volume 2 (Fretted Instruments),,018 Spanish Guitar -Full,,Aquabelle
Ueberschall,Brazil Electro,,Fx-#448,,Tropical Tripper
Ueberschall,Disco Deluxe,,str120strings_classic,Tune 200 cents up. Low-end EQ?,Sentence
UltimateSoundBank,Soundscan 19: Hip Hop R'n B,Partition A -> 06-2TIMBA 98,2TI98PHFXLP,,Hotel Inside
UltimateSoundBank,Soundscan 19: Hip Hop R'n B,Partition A -> 06-2TIMBA 98,2TI98PERLP,,Hotel Inside
Yamaha,MOTIF 6,PRE1,A01 PowerGrand,,MOTIVITY
Yamaha,MOTIF 6,PRE1,A03 Dark Grand,,Aquabelle
Yamaha,MOTIF 6,PRE1,A07 BalladKeys,,Second Run
Yamaha,MOTIF 6,PRE1,B06 Early 70's,,Not Ended Fantasy
Yamaha,MOTIF 6,PRE1,G15 MetalMute,,dis-apparition
Yamaha,MOTIF 6,PRE2,D06 SweetFlute,,"MOTIVITY, Song of Beach, Feliz Navidad"
Yamaha,MOTIF 6,PRE2,F15 Tamburax,,Hotel Inside
Yamaha,MOTIF 6,GM,F01 Square Ld,Mute 2nd voicing. Increase attack ms?,dis-apparition
Yamaha,MOTIF-RACK,PRE5,071 RezSinePad,Confirms rack usage,Hotel Inside
Yamaha,MOTIF-RACK,GM,,Accordion,"And,Don't Forget"
Yamaha,MOTIF XF8,,,Used by D.A. Undocumented usage.,
Yamaha,MOTIF XS8,,,Used by D.A. Undocumented usage.,
Zero-G,Monster Beats,Beat Loops,Book em a 155 4,,Final Killer
Zero-G,Monster Beats,Beat Loops,Book em b 155 8,Fx variants might be used as well,Final Killer
Zero-G,Monster Beats,Beat Loops,Book em c 155 4,,Final Killer
"Seal Online (2003) - SoundTeMP, Jinbae Park, Seock-Jin Lee, Goomin Nam, 'Chihiro'",,,,,
E-MU Systems,Proteus 2000,Instruments,0203 gtr:Sad Guitar,Could be ROM version?,낭만상인(浪漫商人)
EastWest,Symphonic Orchestra,,,,Hunter
Ensoniq,EXP-1 The Real World,EXP024,033 Sikus PT,,Sakara
Ensoniq,MR-Rack,,,"Surdos, possibly other kit pieces",Elim Maturi
Ensoniq,MR-Rack,ROM005,055 Pop Brass,,Elim Maturi
Hollywood Edge,Premiere Edition,,,,Across the Misty Forest
KORG,01/W,PROG,A63 Tin Flute,Song originally from Narsillion,15.mp3
KORG,TRITON-RACK,Combis -> INT-A,014 Leading Lady,,"By your Side, Island Dream"
KORG,TRITON-RACK,Combis -> INT-A,062 DreamingForMiles,Enable SW1. Might be Trinity?,Streamy Saga
KORG,EXB-PCM06 Orchestral Collection,,001 Maestro Strings,,Macho Bravo
reFX,Nexus 2,Fantasy And Dream,SY Decadebell,,01.mp3
Roland,SR-JV80-06 Dance,,141 Spooky,,Island Dream
Roland,XV-3080,PR-F,075 Andreas Cave,Disable tone 3,Lakeside Mystery
Roland,,,,,Sakara
Sonic Foundry,Voices of Native America,Single Shot Loops & Hits -> Flutes,,Some other flute samples maybe this?,Sakara
Sonic Foundry,Voices of Native America,Single Shot Loops & Hits -> Flutes,Echo Flute 9.6,,Sakara
Sonic Foundry,Voices of Native America,Single Shot Loops & Hits -> Flutes,Echo Flute 10.8,,Sakara
Spectrasonics,Bass Legends,Disc 2 -> PARTITION B -> ALL SLIDES,JP AC.UP-DWN,Regular bass should be the same one,La Vie en Rose
Spectrasonics,Metamorphosis,Disc 3 -> PARTITION B -> 125-135 LPS,MOVE ME C,,Dilly Hilly Valley
Spectrasonics,Stylus,,,Phew and Phar,48.mp3
Spectrasonics,Stylus RMX,,160-Spheres,Trashed? Custom loop?,58.mp3
Spectrasonics,Symphony of Voices,,,28.mp3,
UVI,Plugsound Volume 2 (Fretted Instruments),,018 Spanish Guitar -Full,,This is My Story
Ueberschall,House Musique Disco and French House,21-25 frenchbrass 130 e -> 24 licks+samples,pne130chords01_frenchbrass,,Dilly Hilly Valley
Yamaha,MOTIF 6,PRE2,D06 SweetFlute,,"Discoholic, July Delight"
Yamaha,PLG100-VL,,,, 
Corum Online (2003) - SoundTeMP,,,,,
EastWest,Ra,Americas -> Wind -> Pan Flute,Pan Flute KS C0-D#0,,Almansia
EastWest,Symphonic Orchestra,,,,"Intro, Lamonta Ruins, Irnote, Day in Ludiros, Event Dungeon, Lighthouse, Tower/Guild Battle"
Roland,JV-2080,,,Timpani,Ending
Spectrasonics,Vocal Planet,Disc 5 -> Partition E -> 3 WELSH FEM.,WELSH FEM.1,,Lamonta
Yamaha,MOTIF 6,PRE2,D06 SweetFlute,,"Santa Claus Is Coming to Town, NPC 1"
"Flyff (2004) - SoundTeMP, Jinbae Park, Dong-Il Kwak, Seung Yeol Kim,",,,,,
Access,Virus,,A4 Impact MS,Program name based on Virus C,"Crisis Battle, Darkon 1"
Access,Virus,,C99 Sawz 2 SV,Program name based on Virus C,Flaris Battle
Best Service,Total Piano,,30 Piano FX Menue,"AKAI used, program name is from CCC",Darkon 1
EastWest,BT Breakz from the Nu Skool ,,090 Filth and Funk,,Darkon 3
EastWest,BT Breakz from the Nu Skool ,,090 Graveyard Shift,,Darkon 3
EastWest,BT Breakz from the Nu Skool ,,117 Fruitalicious Break,,Crisis Battle
EastWest,BT Twisted Textures,,Can it be true,,Darkon 1
EastWest,Stormdrum,Large Percussion,Big Hits,Original track from 2005 (See notes),Kalgas Cave
EastWest,Symphonic Orchestra,,,,Flyff World Championship
EastWest,Symphonic Orchestra,,,"Snare, glock, etc.",Flyff World Championship
Ensoniq,MR-Rack,RAM001,049 MR Coffee,,Lachrymose
Ensoniq,MR-Rack,ROM004,050 Pipe Organ,Parameters seem edited,Lachrymose
E-MU Systems,Mo' Phatt,Bank 0,018 key:SOOTCaSE’000,Could be ROM version?,Sain City
E-MU Systems,Proteus 2000,Instruments,0203 gtr:Sad Guitar,Could be ROM version?,Playground
KORG,TRITON-Rack,Programs -> INT-C,C127 Bottle-Bell,Turn off OSC2,Traseia
KORG,TRITON-Rack,Programs -> INT-D,D031 Finger Cymbal,,"Soaring Broom, Frostbelt"
KORG,TRITON-Rack,Programs -> INT-D,D042 Vanishing Planet,"Patch seems random, look into this",Mars Mine Dungeon
Native Instruments,FM8,FM7 Legacy,Far East,,Flyff World Championship
Roland,SR-JV80-12 Hip Hop Collection,,245 EarlyEvening,Maybe not this? Patch doesn't pitch,Darkon 3
Roland,SR-JV80-16 Orchestral II,,113 Dyno Celt,,Darkon 2
Spectrasonics,Bass Legends,Partition A -> ALL THUMBS,EM SLP POP A,Additional bass is layered(?),Darkon 1
Spectrasonics,Metamorphosis,,,,Good Morning
Spectrasonics,Metamorphosis,Disc 1 -> PARTITION A -> 53-70 LOOPS,SONAR,AKAI/WAV/Stylus tossup,Flarine
Spectrasonics,Metamorphosis,Disc 2 -> PARTITION A -> 99-105 LPS,ASTERIODS,AKAI/WAV/Stylus tossup,Flarine
Spectrasonics,Metamorphosis,Disc 2 -> PARTITION A -> 99-105 LPS,HAMSTRING,AKAI/WAV/Stylus tossup,Frostbelt
