Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Live Recording: Casey Rankin,Electric Guitar,,,,You Can Do Anything,
Live Recording: Casey Rankin & Co.,Rap Verses,,,,"Metallic Madness Present, Metallic Madness Bad Future",
Live Recording: Casey Rankin & Co.,Monologue,,,BGM.TS 0:15,Boss,
Live Recording: Takenobu Mitsuyoshi,Male Backing Vocals,,,BGM.TS 0:00,Stardust Speedway Present,
Sample: Daddy Freddy,Haul & Paul Badboy,,Timestamp 0:18,Backspin,Boss,
Sample: Daddy Freddy,Intro,,Timestamp 0:11,"""Yo, Freddy!""",Boss,
Sample: Daddy Freddy,Talking Beatbox (feat. Pat Kelly),,Timestamp 1:49,,Boss,
Sample: De La Soul,Pass the Plugs,,Timestamp 0:00,"Scratched ""This time, put it""",Boss,
Sample: Double Dee,Chocobar (Not a Fool),,Timestamp 4:17,Drumloop,Palmtree Panic Bad Future,
Sample: L.A. Style,James Brown Is Dead (Long Rock Mix),,Timestamp 1:57,,Title Screen,
Sample: Naoya Matsuoka,One Last Farewell (Re-Take),,Timestamp 4:04,Drumloop,"Palmtree Panic Good Future, Palmtree Panic Bad Future",
Sample: Quadrophonia,Quadrophonia,,Timestamp 0:57,"""All systems activated""","Metallic Madness Present, Metallic Madness Bad Future",
AKAI,S1000,SL1045 BAROQUE STRINGS,STRING SECT1,,"Quartz Quadrant Good Future, Final Fever",
AKAI,S1000,SL1005 PERC#1,TAMBALIN,TAMB   7,"Quartz Quadrant Present, Wacky Workbench Present, Little Planet",
EastWest,Dance/Industrial,Track 09 -> Sample 3,123 Rhythm loop,"2 bars - fast, bass drum w/ open hi hat",Final Fever,
EastWest,Dance/Industrial,Track 37 - MIDI File Rhythm loops -> Sample 1,122 Rhythm loop 23,wild house groove w/ funky intro,Stardust Speedway Present,
EastWest,Dance/Industrial,Track 59 - Kick drums -> Sample 8,Bass drum,solid,"Collision Chaos Good Future, Collision Chaos Bad Future",
EastWest,Dance/Industrial,Track 64 - Snare Drums -> Sample 2,Snare drum,crisp w/ambiance,Stardust Speedway Bad Future,
EastWest,Dance/Industrial,Track 77 - Miscellaneous -> Sample 9,Effect,big horn effect stab,"Stardust Speedway Present, Stardust Speedway Bad Future",
EastWest,Dance/Industrial,Track 78 - Miscellaneous -> Sample 2,Vocal effect,male,"Stardust Speedway Present, Stardust Speedway Bad Future",
EastWest,Dance/Industrial,Track 78 - Miscellaneous -> Sample 3,Vocal effect,"male ""down"" very low","Stardust Speedway Present, Stardust Speedway Bad Future",
EastWest,Dance/Industrial,Track 78 - Miscellaneous -> Sample 4,Vocal effect,"male ""uh""","Stardust Speedway Present, Stardust Speedway Bad Future",
EastWest,Dance/Industrial,Track 79 - Miscellaneous -> Sample 1,Effect,sliding scratch,"Stardust Speedway Present, Stardust Speedway Bad Future",
EastWest,Dance/Industrial,Track 79 - Miscellaneous -> Sample 2,Effect,scratch lick,"Stardust Speedway Present, Stardust Speedway Bad Future",
EastWest,Dance/Industrial,Track 82 - Miscellaneous -> Sample 10,-,Hi hat (open),"Collision Chaos Bad Future, Collision Chaos Bad Future",
E-MU Systems,Emax II,GRAND PIANO1,Bright Piano,,"Quartz Quadrant Present, Little Planet",
Ensoniq,ESS-11,ROCK KIT 2,"CS, WS 7 - 1930-S .0-R-S",Also found on Ensoniq CDR-1 EPS Library,Quartz Quadrant Present,
Ensoniq,SQ-R Plus,,19 New Horizon,,Collision Chaos Good Future,
Ensoniq,SQ-R Plus,,56 Top Synth,,Tidal Tempest Bad Future,
Great Attractor Studio,Drumbase 5000,Partition A -> POWER KITS,POWER KIT 01,PWR.P TAMB1,Collision Chaos Bad Future,
Great Attractor Studio,Drumbase 5000,Partition B -> DANCE KITS #3,AE SNARE2,,"Collision Chaos Good Future, Collision Chaos Bad Future",
Great Attractor Studio,Drumbase 5000,Partition C -> DR-550,DR550 REAL S,,Final Fever,
Great Attractor Studio,Drumbase 5000,Partition D -> RX5,RX5 TAMBURIN,,Metallic Madness Present,
Great Attractor Studio,Drumbase 5000,Partition G -> GATE KITS #2,GATE KIT #15,GATE.S #23,Palmtree Panic Good Future,
Great Attractor Studio,Drumbase 5000,Partition G -> GATE KITS #3,GATE KIT #24,GATE.S #33,"Quartz Quadrant Bad Future, Zone Clear",
Great Attractor Studio,Drumbase 5000,Partition H -> CRASH CYMBLS,CRASH CYMBAL,,"Zone Clear, Salad Plain Past (V0.02)",
Great Attractor Studio,Drumbase 5000,Partition H -> DRY KITS #2,DRY KIT #2,DRY.P TIMB2H,Palmtree Panic Present,
Great Attractor Studio,Drumbase 5000,Partition H -> DRY KITS #2,DRY KIT #11,DRY.P P18,"Palmtree Panic Present, Stardust Speedway Present, Stardust Speedway Good Future, Metallic Madness Present",
Great Attractor Studio,Drumbase 5000,Partition H -> ROOM KITS #2,ROOM KIT #13,ROOM.K #08,Zone Clear,
KORG,01/W,PROG -> Bank A,A01 '16 Piano,,"Tidal Tempest Present, Final Fever",
KORG,01/W,PROG -> Bank A,A05 VS Bells 1,,Stardust Speedway Good Future,
KORG,01/W,PROG -> Bank A,A14 Alan's Run,,Title Screen (Beta),
KORG,01/W,PROG -> Bank A,A29 Dance Kit,,"Title Screen, Title Screen (Beta), Quartz Quadrant Present",
KORG,01/W,PROG -> Bank A,A30 Fresh Air,,"Metallic Madness Present, Metallic Madness Present (Unused Jingle)",
KORG,01/W,PROG -> Bank A,A43 Harmonica,,Metallic Madness Good Future,
KORG,01/W,PROG -> Bank A,A53 Tenor Sax,,Palmtree Panic Good Future,
KORG,01/W,PROG -> Bank A,A57 Harp,,Final Fever,
KORG,01/W,PROG -> Bank A,A59 Orch Hit,,"Palmtree Panic Bad Future, Metallic Madness Present, Metallic Madness Good Future, Metallic Madness Bad Future, Zone Clear, Quartz Quadrant Present, Quartz Quadrant Bad Future",
KORG,01/W,PROG -> Bank A,A65 DigiBell,,Quartz Quadrant Good Future,
KORG,01/W,PROG -> Bank A,A79 Crickets,,Quartz Quadrant Good Future,
KORG,01/W,PROG -> Bank A,A90 Underwater,,Tidal Tempest Present,
KORG,01/W,PROG -> Bank B,B09 MrProducer,,Wacky Workbench Present (Unused Jingle),
KORG,01/W,PROG -> Bank B,B13 SopranoSax,,"Palmtree Panic Bad Future, Quartz Quadrant Present, Quartz Quadrant Good Future",
KORG,01/W,PROG -> Bank B,B22 Brass 1,,"Stardust Speedway Present, Final Fever",
KORG,01/W,PROG -> Bank B,B29 Percussion,,"Quartz Quadrant Present, Quartz Quadrant Good Future",
KORG,01/W,PROG -> Bank B,B37 Choir,,Tidal Tempest Present,
KORG,01/W,PROG -> Bank B,B43 Musette,,"Quartz Quadrant Present, Quartz Quadrant Good Future, Stardust Speedway Good Future",
KORG,01/W,PROG -> Bank B,B59 Drum Hit,,Title Screen (Beta),
KORG,01/W,PROG -> Bank B,B61 Gospel Org,,"Stardust Speedway Present, Boss",
KORG,01/W,PROG -> Bank B,B70 Gasmore,,Metallic Madness Good Future,
KORG,01/W,PROG -> Bank B,B71 PercOrg 2,,"Collision Chaos Bad Future, Wacky Workbench Present, Stardust Speedway Present",
KORG,SG1,,Grand Piano,,"Cosmic Eternity - Believe in Yourself, Little Planet",
KORG,T2,PROG A,A01 Piano16',,Metallic Madness Present,
KORG,T2,PROG B,B02 Alto Sax,,Palmtree Panic Present,
KORG,T2,PROG B,B46 Res-Synth2,,Tidal Tempest Bad Future,
KORG,T2,PROG B,B80 BellSynth1,,Tidal Tempest Good Future,
KORG ,WAVESTATION A/D,PERFORMANCES -> RAM3,07 Drum Kit,,Collision Chaos Present,
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 02 - DISCO + OLD SCHOOL -> TS 0:36,Dirty Beat 120,,Metallic Madness Good Future,
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 03 - HIPHOP + OLD SCHOOL -> TS 0:23,Breath Loop 103,,Tidal Tempest Good Future,
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 09 - TEKNO/HOUSE -> TS 0:00,Getting Vocal 138,"""We gonna get this place!""","Quartz Quadrant Bad Future, Quartz Quadrant Bad Future (Unused Jingle)",
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 09 - TEKNO/HOUSE -> TS 0:20,Tim Balls 130,,Quartz Quadrant Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 11 - CLONK -> TS 0:30,Adrenalin 127,Drum Break / Vocal,Quartz Quadrant Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 16 - RAVE -> TS 0:01,Onky Drummer 140,,Special Stage,
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 38 - TR 909 SD 1 -> TS 0:00,Snare Drum 1,TR-909 High Snare,Metallic Madness Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 38 - TR 909 SD 1 -> TS 0:02,Snare Drum 3,TR-909 Standard Snare,"Quartz Quadrant Bad Future, Metallic Madness Bad Future",
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 38 - TR 909 SD 1 -> TS 0:07,Snare Drum 7,TR-909 Low Snare,Metallic Madness Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 43 - ROLAND UNITED 2 -> TS 0:07,CR 78 HH 1,,Special Stage,
Polestar Magnetics,The X-Static Goldmine,CD 1 -> Track 64 - R8 MIXED PERCUSSION 4 -> TS 0:18,Tambourin 1,,Tidal Tempest Good Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 05 - LET D BASS KICK -> TS 0:22,Bass,,Special Stage,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 07 - DIS IS HIFI -> TS 0:19,In the mix,,Wacky Workbench Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 09 - BASSLINE LOOPS -> TS 1:25,303 Loop 16 120,,Metallic Madness Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 14 - FAT BASS 1 -> TS 0:20,Fat Pro 3,Synth Bass,"Quartz Quadrant Good Future, Metallic Madness Good Future ",
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 18 - HITS & CHORDS -> TS 0:00,Chord 1,,Metallic Madness Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 18 - HITS & CHORDS -> TS 0:01,Chord 2,,Tidal Tempest Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 18 - HITS & CHORDS -> TS 0:02,Hit 1,,"Quartz Quadrant Bad Future, Metallic Madness Bad Future",
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 18 - HITS & CHORDS -> TS 0:08,Hit 7,,Title Screen,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 19 - RAVE BUZZ -> TS 0:11,Rave Buzz,Loop points were added,Tidal Tempest Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 19 - RAVE BUZZ -> TS 0:20,Beltramerized 3,,Wacky Workbench Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 22 - CHORD 2 -> TS 0:15,Chord 32,,Wacky Workbench Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 24 - BLEEPS & BLIPS -> TS 0:00,Moog Blip 1,,Wacky Workbench Good Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 29 - SCIENCE FICTION 1 -> TS 0:24,Passing Asteroid,,Special Stage,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 31 - STAR-TREKKING -> TS 0:28,Accelerate,,Wacky Workbench Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 41 - FAR OUT -> TS 0:39,Sylvain,Octaved x2,Special Stage,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 53 - ROBOT 5 -> TS 0:15,...Perfect Techno,,Wacky Workbench Good Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 56 - VOCODER -> TS 0:15,...Turns Me On,"""The music just turns-""",Wacky Workbench Bad Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 77 - ELECTRIC FX 1 -> TS 0:09,Dial,,Wacky Workbench Good Future,
Polestar Magnetics,The X-Static Goldmine,CD 2 -> Track 80 - ELECTRIC FX 4 -> TS 0:04,Alarm 1,,Wacky Workbench Bad Future,
Roland,D-550,Bank 1,I1-1 Fantasia,,"You Can Do Anything, Palmtree Panic Present, Cosmic Eternity - Believe in Yourself",
Roland,D-550,Bank 1,I1-6 Living Calliope,,"Metallic Madness Good Future, Stardust Speedway Good Future",
Roland ,D-550,Bank 3,I3-7 Soundtrack ,,Good Ending (You're Too Cool!),
Roland ,D-550,Bank 4,I4-1 Shamus Theme,,You Can Do Anything,
Roland ,D-550,Bank 7,I7-7 O K Chorale,,Cosmic Eternity - Believe in Yourself,
Roland,D-70,PATCH -> A,A11 GrandPf Sw,,-Used throughout the soundtrack-,
Roland,D-70,PATCH -> A,A12 Grandioso,,Cosmic Eternity - Believe in Yourself,
Roland,D-70,PATCH -> A,A21 Strings,Octaved in some parts,Palmtree Panic Good Future,
Roland,D-70,PATCH -> A,A22 Slow n Low,,"Stardust Speedway Good Future, Cosmic Eternity - Believe in Yourself",
Roland,D-70,PATCH -> A,A35 Guitivitty,,Wacky Workbench Good Future,
Roland,D-70,PATCH -> A,A41 Mix Brass,,"Palmtree Panic Present, Palmtree Panic Good Future, Quartz Quadrant Present, Quartz Quadrant Good Future, Stardust Speedway Good Future, Boss",
Roland,D-70,PATCH -> A,A45 Sweep Str,,Stardust Speedway Bad Future,
Roland,D-70,PATCH -> A,A62 PPP VOX,,Stardust Speedway Good Future,
Roland,D-70,PATCH -> A,A85 Shuu-Doon',,"Invincible, Game Over, You Can Do Anything",
Roland,D-70,PERFORMANCE,78 Drum Kit,Also accessible in patch mode on Ch. 10,You Can Do Anything,
Roland,D-70,TONES -> B,B56 Heavy. EG 2,,Quartz Quadrant Bad Future,
Roland ,JD-800,Internal,I-16: Fantasia 90's,,"Boss, Stardust Speedway Good Future",
Roland,JD-800,Internal,I-26: Perc-Vox Stack,,Wacky Workbench Present,
Roland ,JD-800,Internal,I-33: Bruiser Tines,,Palmtree Panic Present,
Roland,JD-800,Internal,I-48: Harlequin,,Metallic Madness Good Future,
Roland,JD-800,Internal,I-65: Nylon Choir,,"Salad Plain Past (V0.02), Quartz Quadrant Bad Future, Quartz Quadrant Good Future",
Roland,JD-800,Internal,I-74: Face Bass,,Palmtree Panic Bad Future,
Roland,R-8,Internal,07 ROOM AMBIENT KICK 1,,Quartz Quadrant Present,
Sound Ideas,Series 1000,1006-18-01,"BIRD, ROBIN","ROBIN, CALLS, ANIMAL",Little Planet,
Sound Ideas,Series 1000,1009-48-02,"CROWD, ANGRY, RIOTOUS",ANGRY CROWD YELLING,Boss,
Sound Ideas,Series 2000,2008-11-01,CHILDREN,SCHOOLYARD: PLAYING AND YELLING,Palmtree Panic Good Future,Link
Waldorf,Microwave (Analog Sounds 1),Sound Prog -> Bank A,A18 Sync,Sync Bass,Palmtree Panic Bad Future,
Waldorf,Microwave (Factory Soundset),Sound Prog -> Bank A,A08 Moog  Bass 02   ,,"Palmtree Panic Good Future, Quartz Quadrant Present, Stardust Speedway Present, Stardust Speedway Good Future, Stardust Speedway Bad Future, Zone Clear",Link
Yamaha,TG77,Internal ROM 1 -> BANK A,A08 SP|Mystery,,Wacky Workbench Bad Future,Link
Yamaha,TG77,Internal ROM 1 -> BANK B,B14 EP:Beltine,,Palmtree Panic Present,Link
Yamaha,TG77,Internal ROM 2 -> BANK A,A10 SL.Gnome,,Collision Chaos Good Future,Link
Yamaha,TG77,Internal ROM 2 -> BANK D,D13 ME*Voyager,,Tidal Tempest Present,Link
Zero-G,Datafile 2,Track 02 - Breakbeat Live -> TS 0:29,1 Bar,,Metallic Madness Present,
Zero-G,Datafile 2,Track 04 - Breakbeat Live -> TS 0:09,2 Bars,,Stardust Speedway Good Future,
Zero-G,Datafile 2,Track 04 - Breakbeat Live -> TS 0:19,1 Bar,,Boss,
Zero-G,Datafile 2,Track 05 - Breakbeat Live -> TS 0:25,1 Bar,,"Stardust Speedway Present, Invincible",
Zero-G,Datafile 2,Track 05 - Breakbeat Live -> TS 0:39,1 Bar,,Game Over,
Zero-G,Datafile 2,Track 06 - Breakbeat Live -> TS 0:04,2 Bars (Human Beatbox),,Palmtree Panic Bad Future (Unused Jingle),
Zero-G,Datafile 2,Track 07 - Breakbeat Live -> TS 0:32,1 Bar,,Stardust Speedway Present,
Zero-G,Datafile 2,Track 08 - Breakbeat Live -> TS 0:19,1 Bar,,Quartz Quadrant Good Future,
Zero-G,Datafile 2,Track 09 - Breakbeat Live -> TS 0:29,1 Bar,,Stardust Speedway Present,
Zero-G,Datafile 2,Track 17 - Percussion -> TS 0:01,Alesis HR 16B Drum M/C HH Clsd 1,Closed Hat,Collision Chaos Bad Future,
Zero-G,Datafile 2,Track 32 - Sci-fi techno FX -> TS 0:30,Print-bleep,,"Collision Chaos Present, Collision Chaos Good Future",
Zero-G,Datafile 2,Track 52 - Speech (Male) -> TS 0:24,"""Bassss!""",,Collision Chaos Bad Future,
Zero-G,Datafile 2,Track 53 - Speech (Male) -> TS 0:14,"""Hit it!""",,"Stardust Speedway Present, Stardust Speedway Bad Future",
Zero-G,Datafile 2,Track 57 - Speech (Male) -> TS 0:16,"""Turn it up!""",,"Stardust Speedway Present, Stardust Speedway Bad Future",
Zero-G,Datafile 2,Track 60 - Speech FX -> TS 0:23,Female laugh no. 3,,Game Over,
Zero-G,Datafile 2,Track 61 - Speech (Male) -> TS 0:14,"""Work that sucker to death!""","""Work that sucker to death, c'mon now""",Boss,
Zero-G,Datafile 2,Track 64 - Misc. House FX -> TS 0:19,Minor synth chord stab,,Wacky Workbench Bad Future,
Zero-G,Datafile 2,Track 66 - Misc house FX -> TS 0:03,Tape-stop FX no. 2,,Palmtree Panic Bad Future,
Zero-G,Datafile 2,Track 66 - Misc House FX -> TS 0:10,Siren start-up FX,,"Stardust Speedway Present, Stardust Speedway Bad Future",
Zero-G,Datafile 2,Track 66 - Misc. House FX -> TS 0:31,Scratched semi-quavers (version 1),,Boss,
Zero-G,Datafile 2,Track 66 - Vocal FX -> TS 0:34,"Scratched ""Selectaah!""","""Hitch it up my selectaah!""",Boss,
Zero-G,Datafile 2,Track 67 - Speech (Male) -> TS 0:14,"""Three...""",,Collision Chaos Present,
Zero-G,Datafile 2,Track 67 - Speech (Male) -> TS 0:15,"""Two...""",,Collision Chaos Present,
Zero-G,Datafile 2,Track 67 - Speech (Male) -> TS 0:16,"""One...""",,Collision Chaos Present,
Zero-G,Datafile 2,Track 67 - Speech (Male) -> TS 0:17,"""...Kick it!""",,Collision Chaos Present,
Zero-G,Datafile 2,Track 67 - Misc. House FX -> TS 0:29,Scratched semi-quavers (version 2),,Boss,
Zero-G,Datafile 2,Track 72 - Guitar FX -> TS 0:22,Metal guitar 2,,Wacky Workbench Present,
Zero-G,Datafile 2,Track 73 - Guitar Breaks -> TS 0:08,-,,Boss,
Zero-G,Datafile 2,Track 73 - Guitar Breaks -> TS 0:25,Break 6 (2 bars),,"Stardust Speedway Present, Stardust Speedway Bad Future",
Zero-G,Datafile 2,Track 75 - Stabs -> TS 0:25,Scratch stab 3,,Wacky Workbench Present,
Zero-G,Datafile 2,Track 83 - Vocal (Female) -> TS 0:11,"""I've got the power!""",,Stardust Speedway Bad Future,
Zero-G,Datafile 2,Track 84 - Speech (Male) -> TS 0:06,"""Let's go!"" (version 2)","(Let's) ""Go!""","Speed Up!!, Speed Up (510 Prototype)",
Zero-G,Datafile 2,Track 90 - Speech (Male) -> TS 0:13,"""Everybody reach, reach to the top...""","(Reach up) ""Don't stop, don't stop""",Stardust Speedway Good Future,
Zero-G,Datafile 2,Track 91 - Vocal adlib (Male) -> TS 0:16,"""Ay-hey-yeah!""",,"Stardust Speedway Present, Stardust Speedway Bad Future, Stardust Speedway Good Future",
Zero-G,Datafile 2,Track 94  - Misc. house/tekno FX -> TS 0:00,FX hits Nos. 1,,Game Over,
Zero-G,Datafile 2,Track 94  - Misc. house/tekno FX -> TS 0:26,Electronic firework-splats,,Wacky Workbench Present,
Zero-G,Datafile 2,Track 94  - Misc. house/tekno FX -> TS 0:52,Scratch pair,,Wacky Workbench Present,
Zero-G,Datafile 2,Track 94  - Misc. house/tekno FX -> TS 0:59,Spaghetti-western mega-ricochet,,Game Over,
Zero-G,Datafile 2,Track 95 - Sci-fi speech -> TS 0:06,"""...four...""",,Invincible,
Zero-G,Datafile 2,Track 95 - Sci-fi speech -> TS 0:08,"""...three...""",,"Palmtree Panic Bad Future, Invincible",
Zero-G,Datafile 2,Track 95 - Sci-fi speech -> TS 0:12,"""...two...""",,"Palmtree Panic Bad Future, Invincible",
Zero-G,Datafile 2,Track 95 - Sci-fi speech -> TS 0:14,"""...one...""",,"Palmtree Panic Bad Future, Invincible",
Zero-G,Datafile 2,Track 99 - Vocal hit (Male) -> TS 0:11,"""Waaaow!""",,Game Over,
Zero-G,Datafile 2,Track 99 - Vocal hit (Male) -> TS 0:14,"""Bang!""",,Game Over,
Stuff to Find,,,,,,
KORG ,01/W,PROG -> Bank A,A48 AnalogPerc,Layered with JD-800 Harlequin,Metallic Madness Good Future,
KORG ,01/W,,,French Horn,Tidal Tempest Present ,
KORG,01/W,,,Slap Bass,Collision Chaos Present ,
KORG ,WAVESTATION SR,PATCHES -> ROM11,12 Glass Vox,,Tidal Tempest Present,
KORG,?,,,Sub Bass,"Palmtree Panic Present, Tidal Tempest Present",
Roland,JD-800,,,Drumkit,"Little Planet, Special Stage, Title Screen, Wacky Workbench Present",
? (Zero-G or Polestar Magnetics),?,,,"""Uh!""",Collision Chaos Bad Future,
?,? (Sound Effects Library),,,"""Woo!"" & ""Yeah!""","Palmtree Panic Present, Palmtree Panic Good Future",
?,?,,,TR-909 Snare,-Used throughout the soundtrack-,
?,?,,,Orchestra Hit,Stardust Speedway Bad Future,
?,?,,,Laughter,"Boss, Metallic Madness Bad Future",
?,? (Likely Song Sample or Library),,,"Female vocal adlib ""Only to you star""",Stardust Speedway Present,
?,? (Likely Song Sample),,,Vocals,Final Fever,
PCM Sequenced Audio ★,,,,,,
Sample: L.A. Style,James Brown Is Dead (Long Rock Mix),,Timestamp 1:57,SNCBNK3B -> Smpl_10,Collision Chaos Past,
AKAI,S1000,,TEST PROGRAM,SNCBNK3B -> Smpl_12 // Sine Wave,Collision Chaos Past,
EastWest,Dance/Industrial,Track 39 - MIDI File Rhythm loops -> Sample 2,Kick/hat,kick w/hi hat after,Metallic Madness Past,
EastWest,Dance/Industrial,Track 39 - MIDI File Rhythm loops -> Sample 6,Snare 2,"tight, sharp","Stardust Speedway Past, Metallic Madness Past",
EastWest,Dance/Industrial,Track 56 - Kick drums -> Sample 2,Bass drum,punchy w/ strong attack,Stardust Speedway Past,
EastWest,Dance/Industrial,Track 79 - Miscellaneous -> Sample 1,Effect,sliding scratch,Stardust Speedway Past,
EastWest,Dance/Industrial,Track 79 - Miscellaneous -> Sample 2,Effect,scratch lick,Stardust Speedway Past,
E-MU Systems,Procussion,Bank 0,022. Stadium Rox,SNCBNK7B -> Smpl_07,Stardust Speedway Past,
E-MU Systems,Proteus MPS Plus Orchestral,Bank 4,371. Timpani,SNCBNK3B -> Smpl_0E,Collision Chaos Past,
Ensoniq,SQ-R Plus,,69 Orchestra Hit,SNCBNK3B -> Smpl_15,Collision Chaos Past,
Great Attractor Studio,Drumbase 5000,Partition A -> HOUSE #2,HOUSE KIT 01,HOUS.P TAMB1,Palmtree Panic Past,
Great Attractor Studio,Drumbase 5000,Partition C -> TR-909,TR-909 #1,"909 CLOSED1, 909 OPEN1",Stardust Speedway Past,
Great Attractor Studio,Drumbase 5000,Partition H -> DRY KITS #2,DRY KIT #11,DRY.P P18,Palmtree Panic Past,
Great Attractor Studio,Drumbase 5000,Partition H -> DRY KITS #2 ,DRY KIT #13,DRY.K #08,Palmtree Panic Past,
Great Attractor Studio,Drumbase 5000,Partition H -> ROOM KITS #3,ROOM KIT #21,ROOM.P STIK3,Palmtree Panic Past,
Great Attractor Studio,Drumbase 5000,Partition H -> ROOM KITS #4,ROOM KIT #31,ROOM.CH 8,Palmtree Panic Past,
KORG,01/W,PROG -> Bank A,A09 Total Kit,SNCBNK5B -> Smpl_0C,Quartz Quadrant Past,
KORG,01/W,PROG -> Bank A,A29 Dance Kit,"SNCBNK3B -> Smpl_03, Smpl_07",Collision Chaos Past,
KORG,01/W,PROG -> Bank A,A41 Hard Tines,"SNCBNK1B -> Smpl_05, Smpl_06 ",Palmtree Panic Past,
KORG,01/W,PROG -> Bank A,A43 Harmonica,SNCBNK6B -> Smpl_04,Wacky Workbench Past,
KORG,01/W,PROG -> Bank A,A59 Orch Hit,SNCBNK8B -> Smpl_05,Metallic Madness Past,
KORG,01/W,PROG -> Bank A,A63 Tin Flute,"SNCBNK3B -> Smpl_00, Smpl_01",Collision Chaos Past,
KORG,01/W,PROG -> Bank A,A71 Spit Organ,SNCBNK3B -> Smpl_09,Collision Chaos Past,
KORG,01/W,PROG -> Bank A,A77 ArcoAttack,SNCBNK3B -> Smpl_0C,Collision Chaos Past,
KORG,01/W,PROG -> Bank A,A83 Flute,SNCBNK1B -> Smpl_02,Palmtree Panic Past,
